Id,0.0,1.0,2.0,3.0,predicted,target
0,0.040411827299487946,0.4759695042162085,0.242636900636151,0.24098176784815253,1.0,3.0
1,0.6362743366617676,0.2660590987745834,0.060812691818642746,0.03685387274500642,0.0,0.0
2,0.06615733901632984,0.13936109198839838,0.6028916739260843,0.1915898950691874,2.0,3.0
3,0.22448353768947985,0.3508081670624309,0.2685740261378551,0.15613426911023412,1.0,2.0
4,0.40299042068302054,0.004293774052042947,0.02098687235239506,0.5717289329125413,3.0,1.0
5,0.2780475773070603,0.2691788843434167,0.39549555979858947,0.05727797855093353,2.0,1.0
6,0.8315000408609149,0.08360427633469099,0.02643061972363495,0.058465063080759175,0.0,1.0
7,0.012931026502062628,0.033267319581436985,0.6019227415208936,0.3518789123956067,2.0,2.0
8,0.5127723705971605,0.36323211586323784,0.0303091328732101,0.09368638066639144,0.0,0.0
9,0.3236575649059949,0.39238645026899094,0.04063021377789603,0.24332577104711822,1.0,1.0
10,0.808732932329473,0.059937278988408005,0.03242780830795136,0.09890198037416757,0.0,0.0
11,0.6058598031326906,0.33024987603316186,0.04727332403617288,0.016616996797974636,0.0,1.0
12,0.012808399317401893,0.5879536844617079,0.11222249485407672,0.28701542136681346,1.0,1.0
13,0.022317928583905158,0.16901316571986985,0.4805006941150526,0.3281682115811723,2.0,2.0
14,0.15541047161043017,0.28511643335219,0.2476443536045193,0.31182874143286055,3.0,3.0
15,0.08064901469965324,0.019908982293330386,0.4473751217762688,0.4520668812307475,3.0,3.0
16,0.6364882974960075,0.08289398096377325,0.08199132019531832,0.19862640134490084,0.0,0.0
17,0.11519043870038206,0.016466107821029023,0.7297252449281155,0.1386182085504735,2.0,3.0
18,0.10594538470882976,0.03725509599919805,0.7152194182156411,0.14158010107633104,2.0,3.0
19,0.011571364066564204,0.6339727053485038,0.06817754721666854,0.2862783833682634,1.0,1.0
20,0.19160371491102962,0.5702669414561944,0.22237847673984368,0.01575086689293227,1.0,1.0
21,0.06332453433797573,0.11851475200579067,0.5970982329549721,0.22106248070126142,2.0,2.0
22,0.06227033199255658,0.0797852208646712,0.5714991982522857,0.28644524889048667,2.0,3.0
23,0.22145871188279476,0.14049017734366984,0.06110100882201959,0.5769501019515159,3.0,3.0
24,0.021013771290939225,0.037699390638075536,0.7261368090458752,0.21515002902511005,2.0,2.0
25,0.005061290986805453,0.2996855417513354,0.4372900727247459,0.2579630945371132,2.0,3.0
26,0.2190343405067082,0.32884466126549367,0.2932892621714422,0.15883173605635598,1.0,0.0
27,0.004612375270086155,0.6360553443036572,0.0850658431607685,0.2742664372654881,1.0,1.0
28,0.8964285552190142,0.0516083312464699,0.0058569845371975945,0.04610612899731829,0.0,0.0
